values,ind
yi2,嶷
xiu1,馐
su4,愫
xu4,洫
cha1,鍤
ge1,鎶
"hu2,he4",鶮
e2,鵞
ou1,鴎
e4,鱷
huo4,嚯
dian1,巅
jin3,馑
"qie4,qian4",慊
hui4,浍
qie4,鍥
ma3,鎷
ying1,鶯
kuang2,鵟
dai4,鴏
lu2,鱸
nang1,囔
chi4,彳
san3,馓
yong1,慵
tao2,洮
shi1,鍦
juan1,鎸
yuan2,鶰
"hu2,gu3",鵠
"jia1,ge1",鴐
guan4,鱹
wei2,囗
"pang2,fang3",彷
zhuan4,馔
jing3,憬
xun2,洵
hong1,鍧
song4,鎹
xian1,鶱
wu3,鵡
ru2,鴑
li2,鱺
jian3,囝
cu2,徂
nang2,馕
qiao2,憔
jiang4,洚
kui2,鍨
zu3,鎺
weng1,鶲
shen1,鵢
ling2,鴒
nan1,囡
xun4,徇
pi3,庀
chong1,憧
liu2,浏
nuo4,鍩
suo3,鎻
"zhou1,diao3",鵃
feng4,鳳
qiu1,鰌
cao2,嘈
lao2,崂
jing4,獍
guang1,銧
chang3,鋹
"lian4,jian4",鍊
chi1,鵄
ming2,鳴
fen4,鱝
qiu1,鰍
piao4,嘌
lai2,崃
jue2,獗
ke4,恪
"yuan3,wan3",鋺
"guo3,guo1",鍋
"luo4,ge2",鵅
bao3,鳵
guan1,鱞
jian3,鰎
qi1,嘁
song1,崧
liao2,獠
yun4,恽
"jian4,jian1",鋻
xian3,鍌
yuan1,鳶
hou4,鱟
bi1,鰏
ying1,嘤
yan1,崦
xie4,獬
bei4,悖
"gang4,gang1",鋼
du4,鍍
"zhi1,chi4",鳷
kuai4,鱠
e4,鰐
beng1,嘣
gu4,崮
xun1,獯
song3,悚
diao4,鋽
tu2,鍎
hu4,鳸
zei2,鱡
yang2,鰑
sou3,嗾
xiao2,崤
huan1,獾
qian1,悭
tao2,鋾
wei2,鍏
luan2,鵉
qin2,鳹
sao1,鱢
fu4,鰒
di1,嘀
guo1,崞
chuan3,舛
kui1,悝
chang2,鋿
"zong1,wan3",鍐
jia2,鵊
"gui1,fu1",鳺
"zhan1,shan1",鱣
sai1,鰓
mi4,嘧
kong1,崆
huo3,夥
kun3,悃
"lun2,fen1",錀
fu4,鍑
ji4,鵋
"fen2,ban1",鳻
gan3,鱤
"jian1,gan3",鰔
peng1,嘭
jue2,崛
sun1,飧
yi4,悒
ke4,錁
rou2,鍒
tu2,鵌
wen2,鳼
gui4,鱥
xia1,鰕
jue1,噘
rong2,嵘
yin2,夤
ti4,悌
ling2,錂
ji2,鍓
"juan1,huan1",鵍
"qian1,jian1",鳽
"ying4,sheng2",鱦
"wei3,tuo3",鰖
liao2,嘹
yao3,崾
"zhi3,dong1",夂
quan1,悛
pi1,錃
e4,鍔
tuo3,鵎
shi1,鳾
li3,鱧
hu2,鰗
pu1,噗
wai3,崴
shi2,饣
qie4,惬
lu4,錄
jun1,鍕
"bu3,bu1",鵏
yu4,鳿
chang2,鱨
